user_id,skills,education,experience_years,current_role,recommended_career_1,confidence_score_1,match_reason_1,required_skills_1,missing_skills_1,skill_gap_1,recommended_career_2,confidence_score_2,recommended_career_3,confidence_score_3,strengths,weaknesses,recommendations
user_001,"JavaScript,React,Node.js,MongoDB,HTML,CSS",Bachelor in Computer Science,2,Frontend Developer,Full Stack Developer,0.92,"Strong frontend skills with backend experience in Node.js and MongoDB","JavaScript,React,Node.js,MongoDB","PostgreSQL,Docker",0.15,Frontend Developer,0.88,React Developer,0.85,"Modern JavaScript,React Ecosystem,Full-stack Capability","Database Design,DevOps Practices,Testing Frameworks","Learn PostgreSQL for advanced database management,Gain experience with Docker and containerization,Master testing frameworks like Jest and Cypress"
user_002,"Python,Machine Learning,TensorFlow,Pandas,SQL,Statistics",Master in Data Science,5,Data Analyst,Data Scientist,0.95,"Strong ML background with statistical analysis skills","Python,Machine Learning,Statistics,SQL","Deep Learning,MLOps",0.2,Machine Learning Engineer,0.88,Senior Data Analyst,0.82,"Statistical Analysis,ML Algorithms,Data Processing","Production ML Systems,Cloud Deployment,Model Monitoring","Learn MLOps practices for production ML systems,Gain experience with cloud platforms (AWS SageMaker, GCP AI Platform),Master deep learning frameworks like PyTorch"
user_003,"Java,Spring Boot,MySQL,Docker,AWS",Bachelor in Information Systems,0,Student,Backend Developer,0.9,"Strong Java and Spring Boot skills with database knowledge","Java,Spring Boot,MySQL","REST API Design,Microservices",0.3,Java Developer,0.85,Cloud Developer,0.75,"Java Ecosystem,Database Management,Cloud Basics","Production Experience,System Design,Testing","Build projects with REST API design patterns,Learn microservices architecture,Gain experience with testing frameworks (JUnit, Mockito)"
user_004,"Figma,Adobe XD,UI/UX Design,Prototyping,User Research,Design Systems",Bachelor in Design,7,UI Designer,UX Designer,0.93,"Strong design background with user research experience","UI/UX Design,User Research,Prototyping","UX Writing,Accessibility",0.15,Product Designer,0.88,Design Lead,0.85,"Visual Design,User Research,Design Systems","UX Writing,Accessibility Standards,Product Metrics","Learn accessibility standards (WCAG),Gain experience with UX writing and content strategy,Understand product metrics and data-driven design"
user_005,"Python,Django,PostgreSQL,Redis,Kubernetes,CI/CD",Bachelor in Computer Engineering,3,Backend Developer,DevOps Engineer,0.91,"Strong infrastructure skills with CI/CD experience","Kubernetes,CI/CD,PostgreSQL,Redis","Terraform,Monitoring Tools",0.2,Site Reliability Engineer,0.87,Backend Developer,0.85,"Infrastructure,CI/CD,Database Management","Infrastructure as Code,Monitoring,Cloud Platforms","Learn Infrastructure as Code (Terraform, CloudFormation),Master monitoring tools (Prometheus, Grafana),Gain AWS/GCP certification"
user_006,"C#,.NET Core,Azure,SQL Server,Entity Framework",Master in Software Engineering,6,Software Engineer,Cloud Solutions Architect,0.89,"Strong .NET and Azure cloud experience","Azure,Cloud Architecture,.NET Core","Azure DevOps,Microservices",0.25,Senior .NET Developer,0.86,Azure Developer,0.83,"Microsoft Stack,Cloud Services,Enterprise Development","Microservices Design,Container Orchestration,Cost Optimization","Learn Azure architecture patterns and best practices,Master microservices with Azure Service Fabric,Gain Azure Solutions Architect certification"
user_007,"Ruby,Rails,PostgreSQL,Heroku,Git",Bachelor in Computer Science,4,Backend Developer,Full Stack Developer,0.87,"Solid backend with Ruby on Rails expertise","Ruby,Rails,PostgreSQL,JavaScript","React,TypeScript",0.3,Ruby Developer,0.84,Web Developer,0.8,"Ruby on Rails,Database Design,MVC Architecture","Frontend Frameworks,Modern JavaScript,UI Development","Learn React or Vue.js for frontend development,Master TypeScript for type-safe JavaScript,Build full-stack projects with modern frontend frameworks"
user_008,"Tableau,Power BI,SQL,Excel,Data Visualization,Python",Bachelor in Business Analytics,3,Business Analyst,Data Analyst,0.94,"Strong analytics and visualization skills","SQL,Data Visualization,Python,Statistics","Machine Learning,Advanced Analytics",0.25,Business Intelligence Developer,0.89,Analytics Consultant,0.85,"Data Visualization,Business Intelligence,SQL Queries","Predictive Analytics,Statistical Modeling,Programming","Learn Python for data science (Pandas, NumPy),Study statistical modeling and hypothesis testing,Gain experience with predictive analytics and forecasting"
user_009,"Swift,iOS Development,UIKit,SwiftUI,Firebase,Git",Bachelor in Computer Science,2,iOS Developer,Senior iOS Developer,0.92,"Strong iOS development with modern frameworks","Swift,SwiftUI,iOS SDK","Core Data,Combine Framework",0.18,Mobile Developer,0.86,iOS Architect,0.82,"iOS Development,Modern Swift,UI Implementation","Advanced iOS Architecture,Performance Optimization,Testing","Master iOS architecture patterns (MVVM, Clean Architecture),Learn Combine framework for reactive programming,Gain experience with Core Data and local storage"
user_010,"Kotlin,Android,Jetpack Compose,Room,Retrofit,MVVM",Master in Mobile Computing,5,Android Developer,Android Architect,0.91,"Strong Android expertise with modern architecture","Android,Kotlin,Jetpack Compose,Architecture Patterns","Kotlin Multiplatform,CI/CD",0.2,Senior Android Developer,0.88,Mobile Tech Lead,0.84,"Modern Android Development,Architecture Patterns,Jetpack Libraries","Cross-platform Development,Team Leadership,Performance Tuning","Learn Kotlin Multiplatform for cross-platform development,Master Android performance optimization techniques,Develop leadership and mentoring skills"
